"","default","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","monthlyincome","phone"
"99","0","1 - 200 EUR",36,"critical","furniture/appliances",2337,"< 100 EUR","> 7 years",4,36,"none","own",1,"skilled",1,2382,0
"100","0","1 - 200 EUR",20,"poor",NA,7057,"unknown","4 - 7 years",4,36,"bank","rent",2,"management",2,6741,1
"101","0","unknown",24,"good",NA,1469,"100 - 500 EUR","> 7 years",4,41,"none","rent",1,"unskilled",1,2026,0
"102","0","1 - 200 EUR",36,"good",NA,2323,"< 100 EUR","4 - 7 years",4,24,"none","rent",1,"skilled",1,3316,0
"103","0","unknown",6,"poor",NA,932,"< 100 EUR","1 - 4 years",2,24,"none","own",1,"skilled",1,1280,0
"104","0","1 - 200 EUR",9,"critical",NA,1919,"< 100 EUR","4 - 7 years",3,35,"none","rent",1,"skilled",1,1549,1
"105","0","unknown",12,"good",NA,2445,"unknown","< 1 year",4,26,"none","rent",1,"skilled",1,2322,1
"106","1","1 - 200 EUR",24,"critical",NA,11938,"< 100 EUR","1 - 4 years",3,39,"none","own",2,"management",2,12316,1
"107","1","unknown",18,"very good",NA,6458,"< 100 EUR","> 7 years",4,39,"bank","own",2,"management",2,6699,1
"108","0","1 - 200 EUR",12,"good",NA,6078,"< 100 EUR","4 - 7 years",2,32,"none","own",1,"skilled",1,6187,0
"109","0","< 0 EUR",24,"good",NA,7721,"unknown","< 1 year",2,30,"none","own",1,"skilled",1,8545,1
"110","0","1 - 200 EUR",14,"good",NA,1410,"500 - 1000 EUR","> 7 years",2,35,"none","own",1,"skilled",1,575,1
"111","0","1 - 200 EUR",6,"poor",NA,1449,"100 - 500 EUR","> 7 years",2,31,"bank","own",2,"skilled",2,1518,0
"112","0","> 200 EUR",15,"good",NA,392,"< 100 EUR","< 1 year",4,23,"none","rent",1,"skilled",1,1276,1
"113","0","1 - 200 EUR",18,"good",NA,6260,"< 100 EUR","4 - 7 years",3,28,"none","rent",1,"unskilled",1,6010,0
"114","1","unknown",36,"critical",NA,7855,"< 100 EUR","1 - 4 years",2,25,"store","own",2,"skilled",1,7058,1
"115","0","< 0 EUR",12,"good",NA,1680,"500 - 1000 EUR","> 7 years",1,35,"none","own",1,"skilled",1,2355,0
"116","0","unknown",48,"critical",NA,3578,"unknown","> 7 years",1,47,"none","own",1,"skilled",1,4131,1
"117","1","< 0 EUR",42,"good",NA,7174,"unknown","4 - 7 years",3,30,"none","own",1,"management",1,7363,1
"118","0","< 0 EUR",10,"critical",NA,2132,"unknown","< 1 year",3,27,"none","rent",2,"skilled",1,1797,0
"119","1","< 0 EUR",33,"critical",NA,4281,"500 - 1000 EUR","1 - 4 years",4,23,"none","own",2,"skilled",1,5076,0
"120","0","1 - 200 EUR",12,"critical",NA,2366,"500 - 1000 EUR","4 - 7 years",3,36,"none","own",1,"management",1,3208,1
"121","1","< 0 EUR",21,"good",NA,1835,"< 100 EUR","1 - 4 years",2,25,"none","own",2,"skilled",1,2318,1
"122","0","unknown",24,"critical",NA,3868,"< 100 EUR","> 7 years",2,41,"none","rent",2,"management",1,4098,1
"123","0","unknown",12,"good",NA,1768,"< 100 EUR","1 - 4 years",2,24,"none","rent",1,"unskilled",1,1523,0
"124","0","> 200 EUR",10,"critical",NA,781,"< 100 EUR","> 7 years",4,63,"none","other",2,"skilled",1,-176,1
"125","1","1 - 200 EUR",18,"good",NA,1924,"unknown","< 1 year",3,27,"none","rent",1,"skilled",1,1375,0
"126","0","< 0 EUR",12,"critical",NA,2121,"< 100 EUR","1 - 4 years",2,30,"none","own",2,"skilled",1,1744,0
"127","0","< 0 EUR",12,"good",NA,701,"< 100 EUR","1 - 4 years",2,40,"none","own",1,"unskilled",1,182,0
"128","1","1 - 200 EUR",12,"good",NA,639,"< 100 EUR","1 - 4 years",2,30,"none","own",1,"skilled",1,1287,0
"129","0","1 - 200 EUR",12,"critical",NA,1860,"< 100 EUR","unemployed",2,34,"none","own",2,"management",1,1078,1
"130","1","< 0 EUR",12,"critical",NA,3499,"< 100 EUR","1 - 4 years",2,29,"none","own",2,"skilled",1,4022,0
"131","0","1 - 200 EUR",48,"good",NA,8487,"unknown","4 - 7 years",2,24,"none","own",1,"skilled",1,8048,0
"132","1","< 0 EUR",36,"poor",NA,6887,"< 100 EUR","1 - 4 years",3,29,"store","own",1,"skilled",1,6963,1
"133","0","unknown",15,"good",NA,2708,"< 100 EUR","< 1 year",3,27,"bank","own",2,"unskilled",1,3535,0
"134","0","unknown",18,"good",NA,1984,"< 100 EUR","1 - 4 years",4,47,"bank","other",2,"skilled",1,1845,0
"135","0","unknown",60,"good",NA,10144,"100 - 500 EUR","4 - 7 years",4,21,"none","own",1,"skilled",1,9644,1
"136","0","unknown",12,"critical",NA,1240,"unknown","> 7 years",2,38,"none","own",2,"skilled",1,1531,1
"137","0","unknown",27,"poor",NA,8613,"> 1000 EUR","1 - 4 years",2,27,"none","own",2,"skilled",1,8765,0
"138","1","1 - 200 EUR",12,"good",NA,766,"500 - 1000 EUR","1 - 4 years",3,66,"none","own",1,"unskilled",1,568,0
"139","0","1 - 200 EUR",15,"critical",NA,2728,"unknown","4 - 7 years",2,35,"bank","own",3,"skilled",1,3328,1
"140","0","> 200 EUR",12,"good",NA,1881,"< 100 EUR","1 - 4 years",2,44,"none","rent",1,"unskilled",1,2186,1
"141","0","> 200 EUR",6,"good",NA,709,"> 1000 EUR","< 1 year",2,27,"none","own",1,"unemployed",1,1569,0
"142","0","1 - 200 EUR",36,"good",NA,4795,"< 100 EUR","< 1 year",1,30,"none","own",1,"management",1,5769,1
"143","0","< 0 EUR",27,"good",NA,3416,"< 100 EUR","1 - 4 years",2,27,"none","own",1,"management",1,3498,0
"144","1","< 0 EUR",18,"good",NA,2462,"< 100 EUR","1 - 4 years",2,22,"none","own",1,"skilled",1,2097,0
"145","0","unknown",21,"critical",NA,2288,"< 100 EUR","< 1 year",4,23,"none","own",1,"skilled",1,3000,1
"146","0","1 - 200 EUR",48,"very good",NA,3566,"100 - 500 EUR","4 - 7 years",2,30,"none","own",1,"skilled",1,2822,0
"147","0","< 0 EUR",6,"critical",NA,860,"< 100 EUR","> 7 years",4,39,"none","own",2,"skilled",1,1212,1
"148","0","unknown",12,"critical",NA,682,"100 - 500 EUR","4 - 7 years",3,51,"none","own",2,"skilled",1,1296,1
"149","0","< 0 EUR",36,"critical",NA,5371,"< 100 EUR","1 - 4 years",2,28,"none","own",2,"skilled",1,5865,0
"150","0","unknown",18,"critical",NA,1582,"> 1000 EUR","> 7 years",4,46,"none","own",2,"skilled",1,1178,0
"151","0","unknown",6,"good",NA,1346,"100 - 500 EUR","> 7 years",4,42,"bank","other",1,"skilled",2,463,1
"152","0","unknown",10,"good",NA,1924,"< 100 EUR","1 - 4 years",4,38,"none","own",1,"skilled",1,1017,1
"153","0","> 200 EUR",36,"good",NA,5848,"< 100 EUR","1 - 4 years",1,24,"none","own",1,"skilled",1,5155,0
"154","0","1 - 200 EUR",24,"critical",NA,7758,"> 1000 EUR","> 7 years",4,29,"none","rent",1,"skilled",1,7013,0
"155","0","1 - 200 EUR",24,"poor",NA,6967,"100 - 500 EUR","4 - 7 years",4,36,"none","rent",1,"management",1,6383,1
"156","1","< 0 EUR",12,"good",NA,1282,"< 100 EUR","1 - 4 years",4,20,"none","rent",1,"skilled",1,409,0
"157","0","< 0 EUR",9,"critical",NA,1288,"100 - 500 EUR","> 7 years",4,48,"none","own",2,"skilled",2,512,0
"158","0","< 0 EUR",12,"very good",NA,339,"< 100 EUR","> 7 years",1,45,"bank","own",1,"unskilled",1,1300,0
"159","0","1 - 200 EUR",24,"good",NA,3512,"100 - 500 EUR","4 - 7 years",3,38,"bank","own",2,"skilled",1,3671,1
"160","0","unknown",6,"critical",NA,1898,"unknown","1 - 4 years",2,34,"none","own",2,"unskilled",2,1641,0
"161","0","unknown",24,"critical",NA,2872,"100 - 500 EUR","> 7 years",4,36,"none","own",1,"skilled",2,2443,1
"162","0","unknown",18,"critical",NA,1055,"< 100 EUR","< 1 year",1,30,"none","own",2,"skilled",1,1501,0
"163","0","unknown",15,"good",NA,1262,"500 - 1000 EUR","4 - 7 years",3,36,"none","own",2,"skilled",1,1248,1
"164","0","1 - 200 EUR",10,"good",NA,7308,"< 100 EUR","unemployed",4,70,"bank","other",1,"management",1,7127,1
"165","0","unknown",36,"good",NA,909,"500 - 1000 EUR","> 7 years",4,36,"none","own",1,"skilled",1,556,0
"166","0","unknown",6,"good",NA,2978,"500 - 1000 EUR","1 - 4 years",2,32,"none","own",1,"skilled",1,3806,1
"167","1","< 0 EUR",18,"good",NA,1131,"< 100 EUR","unemployed",2,33,"none","own",1,"skilled",1,1605,0
"168","0","1 - 200 EUR",11,"good",NA,1577,"> 1000 EUR","< 1 year",1,20,"none","own",1,"skilled",1,1417,0
"169","0","unknown",24,"good",NA,3972,"< 100 EUR","4 - 7 years",4,25,"none","rent",1,"skilled",1,4630,1
"170","1","1 - 200 EUR",24,"critical",NA,1935,"< 100 EUR","> 7 years",4,31,"none","own",2,"skilled",1,2806,1
"171","1","< 0 EUR",15,"perfect",NA,950,"< 100 EUR","> 7 years",3,33,"none","rent",2,"skilled",2,314,0
"172","0","unknown",12,"good",NA,763,"< 100 EUR","1 - 4 years",1,26,"none","own",1,"skilled",1,1448,1
"173","1","1 - 200 EUR",24,"poor",NA,2064,"< 100 EUR","unemployed",2,34,"none","own",1,"management",1,2466,1
"174","0","1 - 200 EUR",8,"good",NA,1414,"< 100 EUR","1 - 4 years",2,33,"none","own",1,"skilled",1,771,0
"175","1","< 0 EUR",21,"poor",NA,3414,"< 100 EUR","< 1 year",1,26,"none","own",2,"skilled",1,2892,0
"176","1","unknown",30,"very good",NA,7485,"unknown","unemployed",1,53,"bank","own",1,"management",1,7078,1
"177","0","< 0 EUR",12,"good",NA,2577,"< 100 EUR","1 - 4 years",1,42,"none","own",1,"skilled",1,1727,0
"178","0","< 0 EUR",6,"critical",NA,338,"500 - 1000 EUR","> 7 years",4,52,"none","own",2,"skilled",1,1011,0
"179","0","unknown",12,"good",NA,1963,"< 100 EUR","4 - 7 years",2,31,"none","rent",2,"management",2,1515,1
"180","0","< 0 EUR",21,"critical",NA,571,"< 100 EUR","> 7 years",4,65,"none","own",2,"skilled",1,1477,0
"181","1","unknown",36,"poor",NA,9572,"< 100 EUR","< 1 year",1,28,"none","own",2,"skilled",1,10432,0
"182","1","1 - 200 EUR",36,"poor",NA,4455,"< 100 EUR","1 - 4 years",2,30,"store","own",2,"management",1,3546,1
"183","1","< 0 EUR",21,"very good",NA,1647,"unknown","1 - 4 years",2,40,"none","own",2,"unskilled",2,1594,0
"184","0","unknown",24,"critical",NA,3777,"> 1000 EUR","1 - 4 years",4,50,"none","own",1,"skilled",1,3937,1
"185","1","1 - 200 EUR",18,"critical",NA,884,"< 100 EUR","> 7 years",4,36,"bank","own",1,"skilled",2,630,1
"186","0","unknown",15,"critical",NA,1360,"< 100 EUR","1 - 4 years",2,31,"none","own",2,"skilled",1,1472,0
"187","1","1 - 200 EUR",9,"very good",NA,5129,"< 100 EUR","> 7 years",4,74,"bank","other",1,"management",2,6063,1
"188","0","1 - 200 EUR",16,"critical",NA,1175,"< 100 EUR","unemployed",3,68,"none","other",3,"unemployed",1,192,1
"189","1","< 0 EUR",12,"good",NA,674,"100 - 500 EUR","4 - 7 years",1,20,"none","own",1,"skilled",1,746,0
"190","0","1 - 200 EUR",18,"perfect",NA,3244,"< 100 EUR","1 - 4 years",4,33,"bank","own",2,"skilled",1,3564,1
"191","1","unknown",24,"good",NA,4591,"> 1000 EUR","1 - 4 years",3,54,"none","own",3,"management",1,4292,1
"192","1","1 - 200 EUR",48,"perfect",NA,3844,"100 - 500 EUR","4 - 7 years",4,34,"none","other",1,"unskilled",2,4504,0
"193","1","1 - 200 EUR",27,"good",NA,3915,"< 100 EUR","1 - 4 years",2,36,"none","own",1,"skilled",2,4861,1
"194","0","unknown",6,"good",NA,2108,"< 100 EUR","4 - 7 years",2,29,"none","rent",1,"skilled",1,1733,0
"195","1","1 - 200 EUR",45,"good",NA,3031,"100 - 500 EUR","1 - 4 years",4,21,"none","rent",1,"skilled",1,2664,0
"196","1","1 - 200 EUR",9,"critical",NA,1501,"< 100 EUR","> 7 years",3,34,"none","own",2,"management",1,1647,1
"197","0","unknown",6,"critical",NA,1382,"< 100 EUR","1 - 4 years",1,28,"none","own",2,"skilled",1,859,1
"198","1","1 - 200 EUR",12,"good",NA,951,"100 - 500 EUR","< 1 year",4,27,"bank","rent",4,"skilled",1,1735,0
"199","0","1 - 200 EUR",24,"good",NA,2760,"unknown","> 7 years",4,36,"bank","other",1,"skilled",1,3660,1
"200","1","1 - 200 EUR",18,"poor",NA,4297,"< 100 EUR","> 7 years",3,40,"none","own",1,"management",1,5266,1
"201","0","unknown",9,"critical",NA,936,"500 - 1000 EUR","> 7 years",2,52,"none","own",2,"skilled",1,-36,1
"202","0","< 0 EUR",12,"good",NA,1168,"< 100 EUR","1 - 4 years",3,27,"none","own",1,"unskilled",1,1351,0
"203","0","unknown",27,"poor",NA,5117,"< 100 EUR","4 - 7 years",4,26,"none","own",2,"skilled",1,4917,0
"204","1","< 0 EUR",12,"good",NA,902,"< 100 EUR","4 - 7 years",4,21,"none","rent",1,"skilled",1,185,0
"205","0","unknown",12,"critical",NA,1495,"< 100 EUR","> 7 years",1,38,"none","own",2,"unskilled",2,2479,0
"206","0","< 0 EUR",30,"critical",NA,10623,"< 100 EUR","> 7 years",4,38,"none","other",3,"management",2,11166,1
"207","0","unknown",12,"critical",NA,1935,"< 100 EUR","> 7 years",4,43,"none","own",3,"skilled",1,1661,1
"208","0","1 - 200 EUR",12,"critical",NA,1424,"< 100 EUR","4 - 7 years",3,26,"none","own",1,"skilled",1,490,0
"209","0","< 0 EUR",24,"good",NA,6568,"< 100 EUR","1 - 4 years",2,21,"store","own",1,"unskilled",1,6953,0
"210","0","unknown",12,"good",NA,1413,"> 1000 EUR","4 - 7 years",2,55,"none","own",1,"skilled",1,1167,0
"211","0","unknown",9,"critical",NA,3074,"unknown","1 - 4 years",2,33,"none","own",2,"skilled",2,2723,0
"212","0","unknown",36,"good",NA,3835,"unknown","> 7 years",4,45,"none","own",1,"unskilled",1,3599,1
"213","1","< 0 EUR",27,"perfect",NA,5293,"< 100 EUR","unemployed",4,50,"store","own",2,"skilled",1,5926,1
"214","1","> 200 EUR",30,"poor",NA,1908,"< 100 EUR","> 7 years",4,66,"none","own",1,"management",1,2633,1
"215","0","unknown",36,"critical",NA,3342,"unknown","> 7 years",2,51,"none","own",1,"skilled",1,3530,1
"216","0","1 - 200 EUR",6,"critical",NA,932,"unknown","4 - 7 years",3,39,"none","own",2,"unskilled",1,1677,0
"217","0","< 0 EUR",18,"perfect",NA,3104,"< 100 EUR","4 - 7 years",1,31,"bank","own",1,"skilled",1,2418,1
"218","0","> 200 EUR",36,"good",NA,3913,"< 100 EUR","1 - 4 years",2,23,"none","own",1,"skilled",1,3723,1
